plot_id,crop,soil_texture,soil_N,soil_P,soil_K,organic_C,pH,ec,season_rain,gdd,seed_rate,fert_type,fert_dose,applied_N,applied_P,applied_K,yield_kg_ha,price_per_ton,fert_cost_per_ha
45,maize,loam,142.70716200750292,34.103530006331965,151.26041434853659,0.5679349949461389,6.479186982856538,0.3099884341926087,362.2505498339519,2194.6921783205116,120,Urea,125,57.5,0.0,0.0,1200.66414491896,16000,37.5
46,rice,sandy,163.17939138711768,24.63603521239883,128.10880654649915,0.5543891961752752,7.687070871700298,0.36892757353828065,537.3475817311456,961.5739887516042,80,DAP,106,19.08,48.760000000000005,0.0,746.7774653838266,20000,47.7
47,wheat,sandy,223.5913495633198,25.208520453362432,103.2092626469964,0.4681816823224687,6.646833011804733,0.35112301765444676,375.9921469135729,1141.792785820377,80,Urea,83,38.18,0.0,0.0,470.9821605774228,18000,24.9
48,rice,sandy,284.3570817536282,27.053118055595604,149.68109434733532,1.0959888277780052,6.538684153823809,0.3138715798671736,752.3124077269657,1507.7820087369316,80,Urea,55,25.3,0.0,0.0,1744.4275295956593,20000,16.5
49,maize,clay,335.57271325974136,32.68497642293847,163.3918992192994,0.9190802271420847,5.460436138512752,0.397852503762534,288.29095917131247,1548.231591689561,100,NPK_20_20_0,80,16.0,16.0,0.0,1077.8577601926395,16000,32.0
50,maize,sandy,202.42608139724135,13.352399068711698,160.81827303119354,0.7899523781101726,6.380525976566795,0.30924363379584024,292.32286694316673,1951.0782451651512,100,DAP,113,20.34,51.980000000000004,0.0,1193.530072010846,16000,50.85
51,maize,clay,402.16602448411527,47.95689724349849,257.320485615534,0.6476530168544361,6.217721498365212,0.2997953276371266,377.9757349786709,1251.8090311080596,80,NPK_20_20_0,109,21.8,21.8,0.0,1416.3695729662388,16000,43.6
52,rice,loam,239.32636815463331,31.10806369910754,230.57008794436092,0.80215963296194,6.94096495519162,0.2315127861032261,525.203001017351,972.239937038137,80,Urea,106,48.760000000000005,0.0,0.0,829.7757629559078,20000,31.799999999999997
53,rice,clay,341.7846056032571,25.962345162739055,241.1921671166113,1.0883137241315801,5.264177749936355,0.32031047445295235,657.707212718054,1359.3909227914014,100,Urea,70,32.2,0.0,0.0,1648.0823729506565,20000,21.0
54,rice,clay,274.5797022553124,25.065275866355734,227.34047292350942,0.8706315246445332,6.765958446109423,0.46963511266524877,651.612472857769,1495.0987282898348,80,DAP,95,17.099999999999998,43.7,0.0,1841.4923904534633,20000,42.75
55,maize,clay,189.59467241630614,37.88622739738743,209.19186725289848,0.9895233875322819,6.374938699462744,0.53010524331623,282.3586979515961,1353.934018474822,100,Urea,72,33.120000000000005,0.0,0.0,982.3370276152888,16000,21.599999999999998
56,maize,loam,156.95450595726766,37.97552054622722,227.47327162170583,0.33208139949702276,5.355469371533501,0.5432481917452506,471.4722059686548,1623.8272711023478,100,Urea,116,53.36,0.0,0.0,1499.059747850415,16000,34.8
57,wheat,loam,281.63909330531425,48.16554286243517,207.2746502023398,0.8496441172600673,6.270319550229878,0.31501556305352085,433.03358165442455,1228.7832348182264,100,NPK_20_20_0,96,19.200000000000003,19.200000000000003,0.0,763.9434711615445,18000,38.400000000000006
58,maize,clay,382.1048085553722,34.68950173823979,223.4814091258669,0.6105317240115752,6.110286902061233,0.1803485399167991,355.5155876418612,2301.1378419283947,80,NPK_20_20_0,45,9.0,9.0,0.0,1638.842229603572,16000,18.0
59,rice,sandy,266.52192816345416,35.994537649998435,178.72394193006735,1.1135188841757937,5.911107229253823,0.3319738412806092,432.054071799821,1278.9873848016193,120,Urea,92,42.32,0.0,0.0,916.2618031300269,20000,27.599999999999998
60,maize,clay,422.2875989808413,36.03376945580182,224.3757917841957,0.9451533247797385,6.740504615868357,0.42238840242791315,270.9525544554688,1894.2936714271991,120,NPK_20_20_0,59,11.8,11.8,0.0,1617.4693136756803,16000,23.6
61,rice,clay,309.19416759525785,35.80076354063759,216.3908934377516,0.9562146535232906,7.769345550868743,0.4523952667107794,541.1913173685447,1373.3198284216912,80,Urea,92,42.32,0.0,0.0,1276.190383820301,20000,27.599999999999998
62,maize,sandy,154.23793100018173,21.96882945832146,192.07133868063602,0.7505264498279791,6.46726132312127,0.48074173610828014,434.0527250251556,1792.3016559960517,120,Urea,118,54.28,0.0,0.0,1206.762138549664,16000,35.4
63,rice,clay,351.9413072555964,29.414271773477182,183.72386023432983,0.6558735529393633,6.539204461253038,0.25152984284829283,596.2964086280882,1485.8896490767338,100,Urea,79,36.34,0.0,0.0,1632.6058034832827,20000,23.7
64,maize,clay,271.08430385363494,27.71553724208096,185.16541409414685,0.4776077640699831,7.1748523136553475,0.3670382658193592,305.19728601997696,1375.1803851339653,80,DAP,96,17.28,44.160000000000004,0.0,1037.0649136799811,16000,43.2
65,wheat,sandy,164.3577108661418,20.851441821535175,139.80091130316578,1.1007985977165378,5.1745150958034944,0.5091506851922463,474.60851924976294,985.32195351837,120,DAP,95,17.099999999999998,43.7,0.0,531.2798564652064,18000,42.75
66,wheat,loam,255.48663195938965,28.52851075672817,220.55181654322445,0.7411266677963388,7.207481845748331,0.4125046031166447,324.3182972074268,1604.857316355878,80,Urea,78,35.88,0.0,0.0,703.9081137890653,18000,23.4
67,rice,sandy,204.93728888186672,18.957238832102334,170.0191007768253,0.5893482558710008,6.324659236060606,0.37707839484464084,681.3863908123606,1211.9172450864196,100,Urea,89,40.940000000000005,0.0,0.0,1172.694253605436,20000,26.7
68,rice,sandy,145.94683362000512,24.92748485555411,173.72405031873535,0.738090712137202,6.663066511121059,0.2748886423614697,692.4027019206901,1363.0195727114021,120,DAP,80,14.399999999999999,36.800000000000004,0.0,1419.1429697530718,20000,36.0
69,rice,sandy,177.0744076236762,28.708322220980357,197.40841166043558,0.6659921612889307,6.974858040297969,0.3639012520744102,564.4967672353275,1451.4946469165316,100,Urea,113,51.980000000000004,0.0,0.0,1224.1007858414898,20000,33.9
70,rice,sandy,183.21424635567146,30.76835365971774,236.20958153732292,0.9344514568827544,6.188572748449358,0.35818569659907284,471.15526202426753,1420.1634844508105,120,DAP,112,20.16,51.52,0.0,1287.6305013357387,20000,50.4
71,wheat,clay,367.33729893204975,36.01434527744376,189.6144247808711,0.7993298260682054,6.465509669827104,0.14217845703375082,293.86331409043413,1462.8407465900902,100,DAP,79,14.219999999999999,36.34,0.0,790.5065442877367,18000,35.550000000000004
72,rice,clay,383.27372222312886,43.11496052014505,146.3650307467342,0.5440846066528597,6.18759071115216,0.4026091050210834,651.7659020469123,1254.851237369307,120,DAP,76,13.68,34.96,0.0,1494.7194203167614,20000,34.2
73,rice,sandy,241.22076941287304,19.003089749252243,179.921389038469,1.100194326112858,6.436152074694614,0.45551452887111216,424.5213159424766,1375.2212042518881,120,NPK_20_20_0,100,20.0,20.0,0.0,864.355000708264,20000,40.0
74,wheat,clay,299.73317645816684,29.72984939374915,152.4177109568692,0.9974244400257422,6.323913508200205,0.424252042561252,367.9845418728059,1333.0295455247774,80,NPK_20_20_0,95,19.0,19.0,0.0,803.2641101896585,18000,38.0
75,maize,loam,210.15242821127248,29.393833382228372,187.68857533280752,0.6682203156047595,6.831868606944011,0.5010141460428619,263.1392810734396,1808.9533734189806,120,NPK_20_20_0,117,23.400000000000002,23.400000000000002,0.0,1180.3086302021152,16000,46.800000000000004
76,maize,clay,364.31343067023005,43.4976788073097,201.85022765854234,0.9265883267586931,5.736724069151126,0.39420950926622156,431.84847346385396,1826.7695308492,100,DAP,91,16.38,41.86,0.0,2040.0485323021671,16000,40.95
77,maize,clay,290.3610106380696,33.76770627226614,274.27427096875556,0.7281125451950197,7.178316691091727,0.12875095081520266,484.78557813290365,2059.481222972525,120,Urea,82,37.72,0.0,0.0,2476.294666373711,16000,24.599999999999998
78,wheat,sandy,203.98289287637934,28.106528288442828,66.79929756612395,0.5431718231820074,7.166929809880357,0.4317815065629137,554.2396422714073,1497.0350210459178,80,Urea,108,49.68,0.0,0.0,893.4857674227385,18000,32.4
79,wheat,loam,182.52682142872385,34.68402768686863,228.53598360821783,0.8094034426247491,7.111585475295729,0.33165682098698773,299.0142422500025,903.0776841828372,80,NPK_20_20_0,74,14.8,14.8,0.0,410.471027768674,18000,29.6
80,wheat,clay,259.6984840164715,33.39366507167413,231.47895833815733,0.38295647128691224,5.569325548161588,0.3700261423390797,395.45634822996556,1548.8076541298321,80,NPK_20_20_0,88,17.6,17.6,0.0,928.2086652559424,18000,35.2
81,wheat,sandy,277.52502464070386,12.013167674089672,189.37289593906334,0.7572022311548983,6.475268145173784,0.4674819492166604,237.72779784377013,1476.4819492368101,120,Urea,103,47.38,0.0,0.0,449.26649045735314,18000,30.9
82,rice,clay,330.90702976403406,30.97036415461487,203.3653063435286,0.7791900486400727,6.757636426493383,0.5194181962551069,609.6545263538775,1100.032617735291,100,Urea,54,24.84,0.0,0.0,1148.4991148855815,20000,16.2
83,wheat,sandy,108.45923129031576,45.33897337651328,239.42698747937897,0.6668123034409208,5.377166400503082,0.31216288129072156,331.90092610602767,1047.6272515920523,120,Urea,115,52.900000000000006,0.0,0.0,513.8726933493774,18000,34.5
84,wheat,loam,207.47217706689023,30.837882389105044,130.05812060169893,0.5485319399142311,6.94205041827959,0.30493162085946734,265.9091201952145,1398.34438508999,80,NPK_20_20_0,108,21.6,21.6,0.0,530.5544219515101,18000,43.2
85,maize,sandy,293.25016169987373,26.563859506169806,194.14855477562392,0.8265132135929573,6.578680750645148,0.5731320579909177,312.17071164629704,1909.355870833048,120,NPK_20_20_0,100,20.0,20.0,0.0,1466.633832467475,16000,40.0
86,wheat,loam,275.1208316093514,36.859567453739245,240.34083299114326,1.106337760248183,6.17540433754816,0.44805621074107477,312.96766314027036,1233.2882025441465,100,NPK_20_20_0,110,22.0,22.0,0.0,645.243964679132,18000,44.0
87,rice,sandy,160.89521573637657,15.07985590928163,140.06948396859536,0.6810219405860869,6.004409845194975,0.4154407276961692,577.8802668274201,1437.9441767116116,120,NPK_20_20_0,104,20.8,20.8,0.0,1211.3106228077254,20000,41.6
88,maize,clay,295.23522338065237,37.232172206162716,244.31586038866158,0.8373218246312717,6.276783192724736,0.4194089992898308,457.3631749859772,1594.696940117788,100,Urea,91,41.86,0.0,0.0,1997.9544567134653,16000,27.3
89,maize,loam,220.67259557393285,45.28643670767028,244.14667770103222,1.1450832550110932,6.1854640139652854,0.3831444125937239,305.08361912244374,2025.3506383852405,120,Urea,101,46.46,0.0,0.0,1258.4876430979941,16000,30.299999999999997
90,wheat,sandy,204.4476136304851,29.327309722971204,128.2958063296689,0.9754203957572586,6.731861928695216,0.457781689088114,301.56908194136315,1329.0751634133012,120,NPK_20_20_0,105,21.0,21.0,0.0,545.5826978192644,18000,42.0
91,maize,loam,342.3318498023833,21.43932186939078,138.97899316301044,0.6616183860237511,6.477206991822251,0.4243339449322692,325.876394214367,1870.4110793028594,80,DAP,94,16.919999999999998,43.24,0.0,1455.7954184480996,16000,42.300000000000004
92,maize,loam,275.1211064595206,43.76664237695627,300.621848314969,0.46871725890496874,6.2905399403757265,0.35182267370151604,512.6519471699683,1303.7410026869597,120,NPK_20_20_0,82,16.400000000000002,16.400000000000002,0.0,1698.99982404478,16000,32.800000000000004
93,rice,sandy,262.46008837437665,23.93123653615598,108.77129988793908,0.7900466980701831,6.687488969169855,0.3242600483101691,464.17288032766476,1336.7804263126945,80,NPK_20_20_0,95,19.0,19.0,0.0,933.4383769818432,20000,38.0
94,wheat,clay,344.53690418874453,21.257651009906944,231.85835735994235,0.7918284132807983,6.440501012134553,0.28221033570194276,256.29779956000743,1723.7604050041195,120,Urea,54,24.84,0.0,0.0,702.8439553722866,18000,16.2
95,rice,loam,289.2900079325416,33.40366049427972,161.32095427483148,0.790457728771604,6.498198730454716,0.28416353108074577,750.339830176715,1575.4724581151343,100,DAP,86,15.479999999999999,39.56,0.0,1825.9874563244903,20000,38.7
96,wheat,sandy,176.44459138486502,28.60099420173831,175.28464405073512,0.6042466704277494,6.675945533953218,0.4132780698264156,520.169620853346,1676.6290001744549,120,Urea,126,57.96,0.0,0.0,1050.242463480847,18000,37.8
97,rice,sandy,219.66315756918388,25.451560642858286,126.82146903719719,1.017801996356955,6.557266683107732,0.49501454709988324,580.2046873431669,1663.4556453462371,120,DAP,118,21.24,54.28,0.0,1537.9452778926322,20000,53.1
98,maize,sandy,286.6107626242824,28.600662568287706,244.7423651191677,0.7151922836001002,6.323286628132002,0.197333787025666,407.1193920567962,1875.0502511237437,80,Urea,95,43.7,0.0,0.0,1987.320491388147,16000,28.5
99,maize,loam,336.3771585050356,33.49058935739226,201.520139126728,0.8240062653436523,6.8067589863652085,0.2977207434801595,324.2623462576655,1466.2831852244822,100,Urea,88,40.480000000000004,0.0,0.0,1252.74137076906,16000,26.4
100,maize,sandy,219.17720037369608,28.250719954114484,184.95132163840464,0.9536247670269433,8.052433714233361,0.4347402636642329,609.3571503858861,1882.4436804487866,100,NPK_20_20_0,102,20.400000000000002,20.400000000000002,0.0,2422.4529000650255,16000,40.800000000000004
101,wheat,sandy,118.35238597290083,15.417852603611793,182.0199296706389,0.8358549208853369,6.7664299464067295,0.2746191766206743,487.6803492878929,1555.4032191514577,120,NPK_20_20_0,98,19.6,19.6,0.0,851.6605094668442,18000,39.2
102,wheat,clay,382.9973801362644,45.20515586100619,229.2256364105746,0.3350641455027062,6.148151253983697,0.38579614732256134,260.61323504951895,1372.0989049026857,80,Urea,85,39.1,0.0,0.0,480.06126870329507,18000,25.5
103,wheat,sandy,257.43828501860514,6.082289769775203,135.50236234387472,0.5760660210747712,5.8526592621395475,0.516082678737852,303.2298798688109,1469.3007763461433,80,DAP,77,13.86,35.42,0.0,543.9671702504277,18000,34.65
104,maize,loam,242.47900727690836,37.96438868289823,176.34787139631877,0.4095629557193112,6.056500969635233,0.44241404190789907,568.9750287809187,1548.016006725369,80,Urea,89,40.940000000000005,0.0,0.0,1616.9862244141384,16000,26.7
105,wheat,loam,320.22716870054376,17.155652746871358,220.1526278235822,0.3692241510576854,6.853605841506191,0.4970298887260061,459.47837116399137,1367.7583062860263,100,Urea,77,35.42,0.0,0.0,785.1294442337932,18000,23.099999999999998
106,wheat,loam,246.4199370292968,29.702222107921266,229.1051817454792,0.81038917716146,6.86632003860779,0.3919283419891418,357.8635190316091,1000.3598630935785,100,DAP,77,13.86,35.42,0.0,620.4577273725099,18000,34.65
107,maize,loam,348.5834375230908,28.29491730666143,202.7101429104865,0.8800228949296435,6.574015879079844,0.232570227946137,392.7870677190386,1382.4221930798783,120,DAP,74,13.32,34.04,0.0,1474.930846241897,16000,33.300000000000004
108,rice,loam,263.82845762974637,24.794291701239285,242.92349381641253,0.7672078240796157,6.773607969028502,0.3082840194803964,596.911236442842,1800.681453436421,80,NPK_20_20_0,91,18.2,18.2,0.0,1832.7859502302156,20000,36.4
109,rice,clay,279.8982594827388,37.232243403700316,244.7211484393448,0.8282073311645128,6.752969918266862,0.49903534110375075,414.9059642104732,1588.6927683730735,100,NPK_20_20_0,85,17.0,17.0,0.0,1358.6504227528214,20000,34.0
110,wheat,loam,266.06786077251365,33.37536603388228,264.54845076234585,0.890706860302796,6.377921682354676,0.49640871682883575,468.94704889246407,1154.4784369726015,100,Urea,99,45.54,0.0,0.0,741.290180433877,18000,29.7
111,wheat,loam,176.54602196818956,22.806706983983688,146.37885586469932,1.0328869291985816,7.169057608223841,0.5586373880159017,200.0,1614.2801820747443,80,Urea,75,34.5,0.0,0.0,404.09338870244795,18000,22.5
112,rice,clay,235.3427338176921,30.19220829597311,226.78775169408078,0.6599768253589984,7.0448324325082305,0.5533978120849568,375.09042719440606,1263.4015339297755,100,NPK_20_20_0,67,13.4,13.4,0.0,895.3447914514152,20000,26.8
113,rice,sandy,79.17741173937551,15.735168601083892,214.97528234400846,0.8650267297263543,6.589708406415634,0.5820780376715357,572.940010833663,1652.3640825868217,120,DAP,92,16.56,42.32,0.0,1326.9414976722298,20000,41.4
114,wheat,sandy,195.15570851924628,8.723909460214445,131.32740216840872,0.7145350634863658,6.730848459062106,0.6347047483372732,402.2418613282565,1441.368770399305,120,NPK_20_20_0,84,16.8,16.8,0.0,629.2073993772773,18000,33.6
115,rice,loam,214.15668898212044,42.46943928071186,157.65442602411673,0.8126330918614347,6.664657892575888,0.43948257444077016,541.8764826917168,1220.8981195709805,80,NPK_20_20_0,70,14.0,14.0,0.0,1155.1267851019009,20000,28.0
116,wheat,sandy,199.01811005366594,24.41991963533718,158.95656536258645,1.072828085994769,6.562612251323953,0.35705944588747474,362.2297503032284,1508.6596058072776,100,NPK_20_20_0,134,26.8,26.8,0.0,757.7998718009175,18000,53.6
117,wheat,sandy,228.96450721524425,29.285459965577,131.48203738298562,0.5837160742509193,6.588255638081373,0.42654038283485374,200.0,1475.0143829365556,100,Urea,102,46.92,0.0,0.0,436.7968466268617,18000,30.599999999999998
118,wheat,clay,351.4419147706406,39.55835049523016,197.28979747303225,0.8864385302930811,5.928936728351913,0.37496812882670066,400.2799230966404,1327.897156655222,80,NPK_20_20_0,75,15.0,15.0,0.0,820.2668364435791,18000,30.0
